steps,time,reward,delta,converged
80,0.28432799999973213,-296.3161517919564,100.0,False
81,0.27351199999975506,-296.31614634234205,100.0,False
82,0.26130599999942206,-296.3161696186002,100.0,False
83,0.26818699999967066,-296.3161501860073,100.0,False
84,0.31791700000030687,-296.3161481016128,100.0,False
85,0.2704669999993712,-296.3161693585398,100.0,False
86,0.2636270000002696,-296.3161517919564,100.0,False
87,0.2715220000000045,-296.31614634234205,100.0,False
88,0.26832199999989825,-296.3161696186002,100.0,False
89,0.26391100000000733,-296.3161501860073,100.0,False
90,0.2711410000001706,-296.3161481016128,100.0,False
91,0.26972399999976915,-296.3161693585398,100.0,False
92,0.2670060000000376,-296.3161517919564,100.0,False
93,0.2775469999996858,-296.31614634234205,100.0,False
94,0.261927999999898,-296.3161696186002,100.0,False
95,0.2698339999997188,-296.3161501860073,100.0,False
96,0.2621159999998781,-296.3161481016128,100.0,False
97,0.27408000000014,-296.3161693585398,100.0,False
98,0.27183400000012625,-296.3161517919564,100.0,False
99,0.2918630000003759,-296.31614634234205,100.0,False
100,0.27267900000060763,-296.3161696186002,100.0,False
101,0.2794000000003507,-296.3161501860073,100.0,False
102,0.2795779999996739,-296.3161481016128,100.0,False
103,0.2762560000001031,-296.3161693585398,100.0,False
104,0.27766800000063085,-296.3161517919564,100.0,False
105,0.26631300000008196,-296.31614634234205,100.0,False
106,0.3009460000002946,-296.3161696186002,100.0,False
107,0.27481100000022707,-296.3161501860073,100.0,False
108,0.28069199999936245,-296.3161481016128,100.0,False
109,0.2699739999998201,-296.3161693585398,100.0,False
110,0.26379499999984546,-296.3161517919564,100.0,False
111,0.2625530000004801,-296.31614634234205,100.0,False
112,0.2683500000002823,-296.3161696186002,100.0,False
113,0.2749080000003232,-296.3161501860073,100.0,False
114,0.26072500000009313,-296.3161481016128,100.0,False
115,0.35893900000064605,-296.3161693585398,100.0,False
116,0.2725990000008096,-296.3161517919564,100.0,False
117,0.28420699999969656,-296.31614634234205,100.0,False
118,0.2618460000003324,-296.3161696186002,100.0,False
119,0.2800250000000233,-296.3161501860073,100.0,False
120,0.27611700000034034,-296.3161481016128,100.0,False
121,0.26438899999993737,-296.3161693585398,100.0,False
122,0.2628580000000511,-296.3161517919564,100.0,False
123,0.274239000000307,-296.31614634234205,100.0,False
124,0.2650659999999334,-296.3161696186002,100.0,False
125,0.260258000000249,-296.3161501860073,100.0,False
126,0.27028299999983574,-296.3161481016128,100.0,False
127,0.2724469999993744,-296.3161693585398,100.0,False
128,0.2703000000001339,-296.3161517919564,100.0,False
129,0.25773299999946175,-296.31614634234205,100.0,False
130,0.26725600000008853,-296.3161696186002,100.0,False
131,0.310950000000048,-296.3161501860073,100.0,False
132,0.27538300000014715,-296.3161481016128,100.0,False
