params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",99.45146400000522,1000,2.333,-1.0,-1.0,5.733333333333333,3.3664983291247896
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",101.69232400000328,1000,2.2387333333333332,-1.0,-1.0,5.733333333333333,3.3642350552044764
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",96.53955699999642,1000,2.4541999999999997,5.733333333333333,-1.0,5.733333333333333,3.365528540957572
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",95.06210900000588,1000,2.5148,5.733333333333333,-1.0,5.733333333333333,3.3634061544809004
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",96.99363900000026,1000,2.5484666666666667,5.733333333333333,-1.0,5.733333333333333,3.361754483070476
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",91.02751100000023,1000,2.7235333333333336,5.733333333333333,-1.0,5.733333333333333,3.3476993035018343
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",382.9277349999975,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",100.89644399999816,1000,2.3195333333333332,-1.0,-1.0,5.733333333333333,3.366336717165016
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",102.07001499999751,1000,2.2252666666666667,-1.0,-1.0,5.733333333333333,3.3636959560050084
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",19.205110000002605,1000,5.342007843137255,5.733333333333333,4.9411764705882355,5.733333333333333,0.3960499126987809
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",19.237549000004947,1000,5.336462745098038,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39607763921489403
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",101.98644200000126,1000,2.2252666666666663,-1.0,-1.0,5.733333333333333,3.363695956005009
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",102.54306200000428,1000,2.2118,-1.0,-1.0,5.733333333333333,3.3631028470744098
