episode,length,time,reward,delta
84,99.0,0.006405999998605694,-109.89999999999998,-99.94088902426375
85,21.0,0.0015190000012808014,-102.1,-84.57266627443398
86,52.0,0.003408000000490574,-105.2,-81.87359798097681
87,21.0,0.0015089999997144332,-102.1,-99.972657
88,88.0,0.0056459999996150145,-108.79999999999998,-99.97113199610824
89,42.0,0.0027399999999033753,-104.2,-85.082889505201
90,69.0,0.004600999998729094,-106.89999999999999,-72.9
91,75.0,0.004769999999552965,-107.49999999999999,-99.93545446834423
92,86.0,0.005532999999559252,-108.59999999999998,-73.68623818287912
93,43.0,0.0028449999990698416,-104.3,-61.59620060698818
94,33.0,0.002168000000892789,-103.3,-90.9553230175713
95,26.0,0.0020190000013826648,-102.6,-80.93838808725617
96,77.0,0.008049999998547719,-107.69999999999999,-100.0
97,70.0,0.004601000000548083,-106.99999999999999,-75.60927428339075
98,97.0,0.00614300000052026,-109.69999999999999,-99.989421
99,73.0,0.00486799999998766,-107.29999999999998,-50.44337576150572
100,48.0,0.0030630000001110602,-3.799999999999999,1.0
101,36.0,0.002387000000453554,-103.60000000000001,-81.89099999999999
102,145.0,0.009350000000267755,-114.49999999999997,-99.90726231577455
103,20.0,0.001421999999365653,-102.0,-91.86352078986155
104,196.0,0.015103000001545297,-119.60000000000001,-65.61
105,13.0,0.0009570000001986045,-101.3,-91.86122004915111
106,46.0,0.0029780000004393514,-104.6,-89.98126042147645
107,93.0,0.005837000000610715,-109.29999999999998,-99.92681609574021
108,31.0,0.0022230000013223616,-103.1,-45.399038185355145
109,93.0,0.006033999999999651,-109.29999999999998,-71.22944609416449
110,17.0,0.0011529999992490048,-101.7,-59.049
111,70.0,0.004576999999699183,-106.99999999999999,-100.0
112,28.0,0.0018060000002151355,-102.8,-55.436580546289356
113,17.0,0.0011270000013610115,-101.7,-94.04162912981779
114,35.0,0.0022469999985332834,-103.5,-82.8893899584483
115,24.0,0.0017740000002959277,-102.4,-90.0
116,29.0,0.0019940000001952285,-102.9,-82.87549822837909
117,155.0,0.010784999998577405,-115.49999999999996,-72.84454927853055
118,15.0,0.0011180000001331791,-101.5,-80.54290812920763
119,46.0,0.003013999999893713,-104.6,-90.0
120,63.0,0.0042709999997896375,-106.3,-82.675098044236
121,63.0,0.004033999999592197,-106.3,-57.81629571886007
122,34.0,0.0022640000006504124,-103.4,-81.0
123,52.0,0.005210999999690102,-105.2,-72.9
124,92.0,0.009353999999802909,-8.199999999999983,0.8332999999999999
125,21.0,0.002056000001175562,-102.1,-81.89099999999999
126,52.0,0.004757999999128515,-4.1999999999999975,1.0
127,71.0,0.009233999999196385,-107.1,-40.85913436681963
128,49.0,0.004248000001098262,-104.9,-94.00725943375903
129,137.0,0.010758999998870422,-113.69999999999996,-84.60653349038313
130,35.0,0.002561999999670661,-103.5,-96.39596636055762
131,153.0,0.009904999998980202,-115.29999999999995,-99.9798999
132,92.0,0.008525999999619671,-8.199999999999983,0.74997
133,21.0,0.0013799999996990664,-102.1,-52.03466614697406
134,6.0,0.0008760000000620494,-100.6,-82.14693460925434
135,63.0,0.00601000000096974,-106.3,-46.831199532276656
136,40.0,0.0031149999995250255,-104.0,-100.0
137,173.0,0.012813999999707448,-117.29999999999998,-90.0
138,62.0,0.004664000000047963,-106.19999999999999,-100.0
139,32.0,0.0031309999994846294,-103.2,-82.88519976238618
140,134.0,0.009033000000272295,-113.39999999999996,-100.0
141,24.0,0.001675999999861233,-102.4,-99.9894219
142,11.0,0.0007640000003448222,-101.1,-72.690511572405
143,24.0,0.0015910000001895241,-102.4,-86.11651245386913
144,185.0,0.01168599999982689,-118.5,-68.86505336445641
145,30.0,0.002060999999230262,-103.0,-61.97854802801077
146,59.0,0.0038229999991017394,-105.89999999999999,-94.62276677635087
147,44.0,0.0028139999994891696,-104.4,-77.50486120848223
148,56.0,0.0037229999998089625,-4.599999999999996,0.6749729999999999
149,32.0,0.0021230000002105953,-103.2,-55.780693225209696
150,61.0,0.00393900000017311,-106.1,-90.96430429671746
151,21.0,0.001388000000588363,-102.1,-74.4075882398124
152,79.0,0.005116000000271015,-6.899999999999988,0.6074757
153,129.0,0.008406999999351683,-112.89999999999998,-87.98633683876533
154,186.0,0.011742000000594999,-118.6,-99.99198321069
155,51.0,0.0033670000011625234,-105.1,-100.0
156,124.0,0.008089000000836677,-112.39999999999998,-84.46920090919475
157,36.0,0.002349000000322121,-103.60000000000001,-50.20262390268873
158,161.0,0.01029500000004191,-116.09999999999997,-47.91936413488801
159,56.0,0.0035540000008040806,-105.6,-100.0
160,42.0,0.0027500000014697434,-3.200000000000001,0.9
161,198.0,0.012515000000348664,-18.80000000000001,0.8395691000000001
162,180.0,0.011590000000069267,-117.99999999999999,-45.18236151241985
163,56.0,0.0035420000003796304,-105.6,-99.9786
