params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",193.38811200000055,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",201.1994480000012,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",75.5313299999998,1000,-0.06999489666268406,-0.07105263157894738,-0.09783464566929134,-0.03125000000000001,0.011063664612016246
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",69.01097400000072,1000,-0.07047660202958633,-0.07179487179487182,-0.09786821705426356,-0.02666666666666669,0.011210761009822628
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",71.18845000000147,1000,-0.06956230178264133,-0.07105263157894738,-0.09179104477611938,-0.03125000000000001,0.010402619830432138
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",69.37905599999976,1000,-0.06893409917642239,-0.07027027027027029,-0.08910891089108909,-0.02666666666666669,0.010379304310693501
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",68.29848800000036,1000,-0.06885827065330624,-0.07027027027027029,-0.09009009009009007,-0.03529411764705883,0.009942077714352515
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",66.59697899999992,1000,-0.06796662507285299,-0.06944444444444446,-0.08817204301075267,-0.03125000000000001,0.009725662634994551
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",70.9677300000003,1000,-0.0680565817554909,-0.06944444444444446,-0.0898148148148148,-0.03125000000000001,0.009979017511438917
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",71.34504399999969,1000,-0.06971295373057815,-0.07105263157894738,-0.09090909090909093,-0.03125000000000001,0.00983908284953667
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",207.4188009999998,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
