params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",69.2427459999999,1000,-0.08393986089306371,-0.0825396825396825,-1.7932203389830508,-0.065625,0.05426643825725552
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",104.38974200000303,1000,-0.08975142736366083,-0.08225806451612899,-4.2625,-0.065625,0.15892373626641462
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",96.5514669999975,1000,-0.08670048482491516,-0.0825396825396825,-1.9163636363636363,-0.06666666666666667,0.08523165559820758
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",39.835650000000896,1000,-0.09446863608501935,-0.08307692307692306,-3.1272727272727274,-0.06764705882352942,0.15930351099127252
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",38.18303100000048,1000,-0.12048031936268257,-0.08281249999999998,-3.1272727272727274,-0.06666666666666667,0.2774825755794268
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",30.64429100000052,1000,-0.1422702505737102,-0.08450704225352108,-4.857142857142857,-0.065625,0.41627886187295754
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",85.32935299999735,1000,-0.34015843728169926,-0.2615199115391251,-3.43,-0.09444444444444443,0.24495235124110665
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",62.75819799999954,1000,-0.09836555238916746,-0.09796672828096117,-0.23952513966480446,-0.08382352941176469,0.010820096781407816
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",95.97728599999755,1000,-0.09814148160585814,-0.09886947465375484,-0.15076219512195124,-0.07755102040816327,0.002824013684491806
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",118.69401199999993,1000,-0.08342850591797002,-0.08358208955223878,-0.19293023255813954,-0.06333333333333337,0.005713380768745026
